code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,xpos,ypos,perfGrp
209,0.65,1,8,2,0.80028424900047,2,209,11,3,0.301476736000041,1,1,0.80028424900047,3,0,1,0,0,NaN,NaN,2
250,0.65,1,8,1,0.666884305000167,1,250,4,3,0.13996436600064,2,1,0.666884305000167,3,1,0,0,0,-0.923879532511287,0.38268343236509,2
328,1.4,3,8,1,0.960725953999827,2,328,13,2,0.60327806999976,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
308,0.65,1,8,1,1.76518209699952,2,308,15,2,0.437750738999966,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
64,0.65,1,4,1,1.38525820499945,2,64,8,3,0.13527860799968,2,0,NaN,NaN,0,0,1,0,NaN,NaN,2
365,0.65,3,8,1,0.966500422000536,1,365,7,2,0.100683878999916,4,1,0.966500422000536,2,1,0,0,0,0.38268343236509,-0.923879532511287,2
152,0.65,1,4,1,1.96710815400002,1,152,4,4,0.169129679999969,4,1,1.96710815400002,4,1,0,0,0,0.707106781186547,-0.707106781186548,2
108,0.65,1,4,1,0.466379176999908,1,108,3,1,1.90551217699976,3,1,0.466379176999908,1,1,0,0,0,-0.707106781186548,-0.707106781186547,2
329,0.65,3,8,1,0.765632200000255,2,329,10,3,1.15288944599979,3,0,NaN,NaN,0,0,1,0,NaN,NaN,2
63,0.65,1,4,2,1.99828514500041,2,63,5,4,0.169563233999725,2,1,1.99828514500041,4,0,1,0,0,NaN,NaN,2
225,0.65,3,8,2,1.20611509199989,1,225,2,3,0.308455970000068,1,0,NaN,NaN,0,0,0,1,0.38268343236509,0.923879532511287,2
106,0.65,1,4,1,0.567228485999294,1,106,3,4,0.171545083999263,3,1,0.567228485999294,4,1,0,0,0,-0.707106781186548,-0.707106781186547,2
9,0.65,1,4,1,0.568751306000195,1,9,1,4,0.671718388999579,1,1,0.568751306000195,4,1,0,0,0,0.707106781186548,0.707106781186547,2
217,0.65,3,8,1,0.769310591000249,1,217,1,4,0.506284959999903,1,1,0.769310591000249,4,1,0,0,0,0.923879532511287,0.38268343236509,2
7,0.65,1,4,1,0.273993701000109,1,7,1,4,0.17109477699978,1,1,0.273993701000109,4,1,0,0,0,0.707106781186548,0.707106781186547,2
40,1.4,3,4,2,0.603133364999849,2,40,8,4,0.169990627000516,1,1,0.603133364999849,4,0,1,0,0,NaN,NaN,2
