Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
10,1.96349540849362,0.65,1,8,0.833333333333333
10,1.96349540849362,0.65,3,8,0.5
10,1.96349540849362,1.4,1,8,0.666666666666667
10,1.96349540849362,1.4,3,8,1
10,2.35619449019234,0.65,1,4,1
10,2.35619449019234,0.65,3,4,0.833333333333333
10,2.35619449019234,1.4,1,4,1
10,2.35619449019234,1.4,3,4,1
10,2.74889357189107,0.65,1,8,0.666666666666667
10,2.74889357189107,0.65,3,8,1
10,2.74889357189107,1.4,1,8,0.833333333333333
10,2.74889357189107,1.4,3,8,0.5
10,3.53429173528852,0.65,1,8,0.666666666666667
10,3.53429173528852,0.65,3,8,0.25
10,3.53429173528852,1.4,1,8,0.833333333333333
10,3.53429173528852,1.4,3,8,1
10,3.92699081698724,0.65,1,4,1
10,3.92699081698724,0.65,3,4,1
10,3.92699081698724,1.4,1,4,1
10,3.92699081698724,1.4,3,4,0.833333333333333
10,4.31968989868597,0.65,1,8,0.666666666666667
10,4.31968989868597,0.65,3,8,0.5
10,4.31968989868597,1.4,1,8,0.833333333333333
10,4.31968989868597,1.4,3,8,0
10,5.10508806208341,0.65,1,8,0.666666666666667
10,5.10508806208341,0.65,3,8,0.75
10,5.10508806208341,1.4,1,8,0.5
10,5.10508806208341,1.4,3,8,1
10,5.49778714378214,0.65,1,4,1
10,5.49778714378214,0.65,3,4,1
10,5.49778714378214,1.4,1,4,0.916666666666667
10,5.49778714378214,1.4,3,4,1
10,5.89048622548086,0.65,1,8,0.833333333333333
10,5.89048622548086,0.65,3,8,0.5
10,5.89048622548086,1.4,1,8,0.833333333333333
10,5.89048622548086,1.4,3,8,1
11,0.392699081698724,0.65,1,8,0.666666666666667
11,0.392699081698724,0.65,3,8,0.75
11,0.392699081698724,1.4,1,8,0.833333333333333
11,0.392699081698724,1.4,3,8,1
11,0.785398163397448,0.65,1,4,0.916666666666667
11,0.785398163397448,0.65,3,4,1
11,0.785398163397448,1.4,1,4,0.916666666666667
11,0.785398163397448,1.4,3,4,0.833333333333333
11,1.17809724509617,0.65,1,8,0.5
11,1.17809724509617,0.65,3,8,1
11,1.17809724509617,1.4,1,8,0.5
11,1.17809724509617,1.4,3,8,0
11,1.96349540849362,0.65,1,8,0.833333333333333
11,1.96349540849362,0.65,3,8,0.75
11,1.96349540849362,1.4,1,8,0.666666666666667
11,1.96349540849362,1.4,3,8,0.5
11,2.35619449019234,0.65,1,4,0.916666666666667
11,2.35619449019234,0.65,3,4,1
11,2.35619449019234,1.4,1,4,1
11,2.35619449019234,1.4,3,4,1
11,2.74889357189107,0.65,1,8,0.833333333333333
11,2.74889357189107,0.65,3,8,0.5
11,2.74889357189107,1.4,1,8,0.666666666666667
11,2.74889357189107,1.4,3,8,1
11,3.53429173528852,0.65,1,8,0.833333333333333
11,3.53429173528852,0.65,3,8,0.5
11,3.53429173528852,1.4,1,8,0.666666666666667
11,3.53429173528852,1.4,3,8,0.5
11,3.92699081698724,0.65,1,4,1
11,3.92699081698724,0.65,3,4,1
11,3.92699081698724,1.4,1,4,1
11,3.92699081698724,1.4,3,4,1
11,4.31968989868597,0.65,1,8,0.666666666666667
11,4.31968989868597,0.65,3,8,0
11,4.31968989868597,1.4,1,8,0.333333333333333
11,4.31968989868597,1.4,3,8,0
11,5.10508806208341,0.65,1,8,0.166666666666667
11,5.10508806208341,0.65,3,8,0.5
11,5.10508806208341,1.4,1,8,0
11,5.10508806208341,1.4,3,8,0.5
11,5.49778714378214,0.65,1,4,0.916666666666667
11,5.49778714378214,0.65,3,4,1
11,5.49778714378214,1.4,1,4,0.833333333333333
11,5.49778714378214,1.4,3,4,1
11,5.89048622548086,0.65,1,8,0.333333333333333
11,5.89048622548086,0.65,3,8,0.5
11,5.89048622548086,1.4,1,8,0.5
11,5.89048622548086,1.4,3,8,0.75
