pos_rad,foreperiod,predictability,difficulty,GroupCount,nanmean_Subject_code,std_Subject_code,nanmean_trial_code,std_trial_code,nanmean_response,std_response,nanmean_reaction_time,std_reaction_time,nanmean_correct_response,std_correct_response,nanmean_stimulus,std_stimulus,nanmean_question,std_question,nanmean_confidence,std_confidence,nanmean_confidence_RT,std_confidence_RT,nanmean_score,std_score,nanmean_RTCorrect,std_RTCorrect,nanmean_ConfCorrect,std_ConfCorrect,nanmean_TP,std_TP,nanmean_TN,std_TN,nanmean_FP,std_FP,nanmean_FN,std_FN,nanmean_RT_TP,std_RT_TP,nanmean_xpos,std_xpos,nanmean_ypos,std_ypos,nanmean_perfGrp,std_perfGrp
4.71238898038469,1.4,1,4,6,18,0,24.3333333333333,4.41210456207315,1,0,0.509379211833524,0.136277083481056,1,0,24.3333333333333,4.41210456207315,4,0,4,0,0.10617019233329,0.0821550337513882,1,0,0.509379211833524,0.136277083481056,4,0,1,0,0,0,0,0,0,0,0.509379211833524,0.136277083481056,-1.83697019872103e-16,2.70048070327183e-32,-1,0,1,0
4.71238898038469,1.4,3,4,2,18,0,60.5,14.8492424049175,1,0,0.533541365499332,0.381643048377343,1,0,60.5,14.8492424049175,4,0,4,0,0.131575249500202,0.105400883548646,1,0,0.533541365499332,0.381643048377343,4,0,1,0,0,0,0,0,0,0,0.533541365499332,0.381643048377343,-1.83697019872103e-16,0,-1,0,1,0
5.02654824574367,0.65,1,10,1,18,0,219,0,2,0,0.568530554999597,0,1,0,3,0,9,0,1,0,0.0163843720001751,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,0.309016994374947,0,-0.951056516295154,0,1,0
5.02654824574367,0.65,3,10,2,18,0,270.5,14.8492424049175,1.5,0.707106781186548,0.620923932000551,0.191905495195034,1,0,54.5,14.8492424049175,9,0,2.5,2.12132034355964,0.755220881998866,0.987371563355971,0.5,0.707106781186548,0.756621608999922,0,4,0,0.5,0.707106781186548,0,0,0,0,0.5,0.707106781186548,0.756621608999922,0,0.309016994374947,0,-0.951056516295154,0,1,0
5.23598775598299,0.65,1,6,1,18,0,89,0,1,0,0.350017028000366,0,1,0,17,0,6,0,4,0,0.0570109899999807,0,1,0,0.350017028000366,0,4,0,1,0,0,0,0,0,0,0,0.350017028000366,0,0.5,0,-0.866025403784439,0,1,0
5.23598775598299,0.65,3,6,1,18,0,113,0,1,0,0.35234148499876,0,1,0,41,0,6,0,4,0,0.068143267000778,0,1,0,0.35234148499876,0,4,0,1,0,0,0,0,0,0,0,0.35234148499876,0,0.5,0,-0.866025403784439,0,1,0
5.23598775598299,1.4,1,6,3,18,0,99.3333333333333,6.65832811847939,1,0,0.431462145332868,0.0810681078747531,1,0,27.3333333333333,6.65832811847939,6,0,4,0,0.109119083333402,0.0822136328065348,1,0,0.431462145332868,0.0810681078747531,4,0,1,0,0,0,0,0,0,0,0.431462145332868,0.0810681078747531,0.5,0,-0.866025403784439,1.35973995551052e-16,1,0
5.23598775598299,1.4,3,6,1,18,0,123,0,1,0,0.433712776999528,0,1,0,51,0,6,0,4,0,0.276176689998465,0,1,0,0.433712776999528,0,4,0,1,0,0,0,0,0,0,0,0.433712776999528,0,0.5,0,-0.866025403784439,0,1,0
5.49778714378214,0.65,1,8,1,18,0,152,0,2,0,0.692394812000202,0,1,0,8,0,8,0,2,0,1.60404539900082,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,0.707106781186547,0,-0.707106781186548,0,1,0
5.49778714378214,0.65,3,8,5,18,0,200.6,13.8852439661678,1.4,0.547722557505166,0.79762921740039,0.378760693453994,1,0,56.6,13.8852439661678,8,0,2.4,1.14017542509914,0.91502916939935,0.306158552892025,0.6,0.547722557505166,0.77314423666697,0.530096144995584,3,1,0.6,0.547722557505166,0,0,0,0,0.4,0.547722557505166,0.77314423666697,0.530096144995584,0.707106781186547,0,-0.707106781186548,0,1,0
5.65486677646163,1.4,3,10,1,18,0,269,0,2,0,0.527283740999337,0,1,0,53,0,10,0,1,0,0.433656691999204,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,NaN,NaN,0.809016994374947,0,-0.587785252292473,0,1,0
