Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_TP
9,4.71238898038469,0.65,3,8,0
9,4.71238898038469,1.4,1,4,0
9,4.71238898038469,1.4,1,8,0.5
9,4.71238898038469,1.4,3,4,1
9,4.71238898038469,1.4,3,8,0
9,5.02654824574367,0.65,1,10,1
9,5.02654824574367,0.65,3,10,1
9,5.23598775598299,0.65,1,6,0
9,5.23598775598299,0.65,3,6,1
9,5.23598775598299,1.4,1,6,0
9,5.23598775598299,1.4,3,6,0
9,5.49778714378214,0.65,1,8,0
9,5.49778714378214,1.4,1,8,0
9,5.49778714378214,1.4,3,8,1
9,5.65486677646163,1.4,1,10,1
9,5.65486677646163,1.4,3,10,1
10,0,0.65,1,4,1
10,0,0.65,1,6,1
10,0,0.65,1,8,0.5
10,0,0.65,1,10,1
