Subject_code,pos_rad,foreperiod,predictability,difficulty,nanmean_RT_TP
4,5.23598775598299,1.4,3,6,NaN
4,5.49778714378214,0.65,1,8,NaN
4,5.49778714378214,0.65,3,8,0.644932648000577
4,5.49778714378214,1.4,1,8,NaN
4,5.65486677646163,0.65,1,10,1.67669830349996
4,5.65486677646163,1.4,1,10,2.03998133499999
5,0,0.65,1,4,0.622765608333187
5,0,0.65,1,6,0.560369679998985
5,0,0.65,3,4,0.669750069499059
5,0,1.4,1,4,0.386035790001188
5,0,1.4,1,6,0.568186108997907
5,0,1.4,1,10,NaN
5,0,1.4,3,4,0.679358911498639
5,0,1.4,3,6,2.7172892239978
5,0,1.4,3,8,1.2422970689986
5,0.628318530717959,0.65,1,10,0.394072322000284
5,0.628318530717959,1.4,1,10,NaN
5,0.785398163397448,0.65,3,8,NaN
5,0.785398163397448,1.4,3,8,0.707491435998236
5,1.0471975511966,0.65,1,6,1.59714046049885
5,1.25663706143592,1.4,1,10,1.11044074000165
5,1.25663706143592,1.4,3,10,NaN
5,1.5707963267949,0.65,1,4,0.736906342999646
5,1.5707963267949,0.65,3,4,0.509023850000328
5,1.5707963267949,0.65,3,8,0.71813871699851
5,1.5707963267949,1.4,1,4,0.845162203000655
5,1.5707963267949,1.4,3,4,1.12671967400092
5,1.5707963267949,1.4,3,8,0.590956563002692
5,2.0943951023932,0.65,3,6,0.789575157499712
5,2.0943951023932,1.4,1,6,1.18449667900131
5,2.35619449019234,0.65,1,8,0.864086973500889
5,2.35619449019234,1.4,1,8,1.36930936350109
5,2.51327412287183,1.4,3,10,0.561080849998689
5,3.14159265358979,0.65,1,6,0.984643515666297
5,3.14159265358979,0.65,1,10,1.63740584000334
5,3.14159265358979,0.65,3,8,0.680779895999876
5,3.14159265358979,0.65,3,10,1.26214130699736
5,3.14159265358979,1.4,1,4,NaN
5,3.14159265358979,1.4,1,6,0.5511810709977
5,3.14159265358979,1.4,3,6,NaN
5,3.14159265358979,1.4,3,8,0.689955111000017
5,3.76991118430775,0.65,1,10,1.11288174199944
5,3.76991118430775,1.4,1,10,1.08533927000099
5,3.92699081698724,0.65,1,8,NaN
5,3.92699081698724,0.65,3,8,0.732299793999118
5,3.92699081698724,1.4,3,8,NaN
5,4.18879020478639,0.65,1,6,0.840077367000049
5,4.18879020478639,0.65,3,6,NaN
5,4.18879020478639,1.4,1,6,1.14811504749923
5,4.71238898038469,0.65,1,4,0.728465666001284
5,4.71238898038469,0.65,1,8,0.852222851499391
5,4.71238898038469,0.65,3,4,0.5499508744997
5,4.71238898038469,1.4,1,4,0.540975965999678
5,4.71238898038469,1.4,3,4,0.709555896501115
5,5.02654824574367,0.65,1,10,1.07837342699713
5,5.02654824574367,1.4,1,10,1.24720598500062
5,5.23598775598299,0.65,1,6,1.18722795499707
5,5.23598775598299,0.65,3,6,NaN
5,5.23598775598299,1.4,1,6,NaN
5,5.23598775598299,1.4,3,6,NaN
5,5.49778714378214,0.65,3,8,0.939062354998896
5,5.49778714378214,1.4,1,8,1.57793038800082
5,5.49778714378214,1.4,3,8,NaN
5,5.65486677646163,0.65,1,10,1.13857726100105
5,5.65486677646163,0.65,3,10,NaN
5,5.65486677646163,1.4,3,10,0.786971740999434
6,0,0.65,1,4,0.589788408499885
6,0,0.65,1,6,0.46833912000011
6,0,0.65,1,10,0.585781296000278
6,0,0.65,3,4,0.440623616999801
6,0,0.65,3,6,0.316911118999997
6,0,1.4,1,4,0.907130647000031
6,0,1.4,1,6,0.589330874000098
6,0,1.4,1,8,0.579177825999977
6,0,1.4,1,10,0.544355093000073
6,0.628318530717959,0.65,1,10,0.440952735999872
6,0.628318530717959,0.65,3,10,0.683191442499833
6,0.785398163397448,0.65,1,8,0.520194500000116
6,0.785398163397448,0.65,3,8,NaN
6,1.0471975511966,0.65,1,6,0.739072051799849
6,1.0471975511966,1.4,1,6,0.900882429000148
6,1.25663706143592,1.4,1,10,0.543772807999858
6,1.5707963267949,0.65,1,4,0.715245715666697
6,1.5707963267949,0.65,1,8,NaN
6,1.5707963267949,0.65,3,4,0.629117659666539
6,1.5707963267949,1.4,1,4,0.469649212000149
6,1.5707963267949,1.4,3,8,0.659582931999921
