Subject_code,code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,Quad,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
10,577,1.4,1,8,1,0.624102833000507,1,193,1,4,0.523972077000508,1,1,0.624102833000507,4,1,0,0,0,0.624102833000507,0.923879532511287,0.38268343236509,2
10,605,0.65,3,8,1,0.618980654002371,1,221,1,4,0.18142751400228,1,1,0.618980654002371,4,1,0,0,0,0.618980654002371,0.923879532511287,0.38268343236509,2
10,504,1.4,1,4,2,0.680527095002617,2,120,7,4,1.39685819499937,3,1,0.680527095002617,4,0,1,0,0,NaN,NaN,NaN,2
10,727,1.4,1,8,1,0.617627724001068,1,343,8,4,0.867289399997389,4,1,0.617627724001068,4,1,0,0,0,0.617627724001068,0.923879532511287,-0.38268343236509,2
10,593,1.4,1,8,1,0.623157767000521,2,209,10,3,1.40181239199956,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,468,1.4,3,4,1,0.41709726100089,1,84,2,4,0.172108166996622,2,1,0.41709726100089,4,1,0,0,0,0.41709726100089,-0.707106781186547,0.707106781186548,2
10,436,1.4,1,4,1,0.413446139998996,1,52,2,4,0.179592963002506,2,1,0.413446139998996,4,1,0,0,0,0.413446139998996,-0.707106781186547,0.707106781186548,2
10,768,1.4,3,8,2,0.601400291001482,2,384,15,2,0.637473291000788,4,1,0.601400291001482,2,0,1,0,0,NaN,NaN,NaN,2
10,397,1.4,1,4,2,0.703587045998574,2,13,8,4,0.191138489997684,1,1,0.703587045998574,4,0,1,0,0,NaN,NaN,NaN,2
10,425,0.65,3,4,2,0.596737048999785,2,41,5,4,0.170135702999687,1,1,0.596737048999785,4,0,1,0,0,NaN,NaN,NaN,2
10,624,1.4,3,8,1,0.93262649999815,2,240,11,2,0.298383811001258,1,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,2
10,392,1.4,1,4,1,0.719356254998274,1,8,1,4,0.183140608998656,1,1,0.719356254998274,4,1,0,0,0,0.719356254998274,0.707106781186548,0.707106781186547,2
10,744,1.4,1,8,2,0.9144226540011,2,360,12,2,0.481333917003212,4,1,0.9144226540011,2,0,1,0,0,NaN,NaN,NaN,2
10,548,1.4,1,4,2,0.602144742999371,2,164,7,4,0.19275715600088,4,1,0.602144742999371,4,0,1,0,0,NaN,NaN,NaN,2
10,681,1.4,1,8,2,0.698513360999641,1,297,6,1,0.782070848999865,3,0,NaN,NaN,0,0,0,1,NaN,-0.38268343236509,-0.923879532511287,2
10,502,1.4,1,4,2,0.703034232999926,2,118,7,4,0.184807321002154,3,1,0.703034232999926,4,0,1,0,0,NaN,NaN,NaN,2
10,601,0.65,3,8,1,0.623442686999624,1,217,1,4,0.181546233998233,1,1,0.623442686999624,4,1,0,0,0,0.623442686999624,0.923879532511287,0.38268343236509,2
10,764,1.4,3,8,2,0.597137576998648,2,380,16,1,1.48022894300084,4,1,0.597137576998648,1,0,1,0,0,NaN,NaN,NaN,2
10,756,1.4,3,8,1,0.514233509999031,1,372,8,4,0.181549576998805,4,1,0.514233509999031,4,1,0,0,0,0.514233509999031,0.923879532511287,-0.38268343236509,2
10,685,1.4,1,8,2,0.915498332000425,2,301,10,4,0.370525319998706,3,1,0.915498332000425,4,0,1,0,0,NaN,NaN,NaN,2
10,728,1.4,1,8,1,0.61866973799988,1,344,8,4,0.359577413997613,4,1,0.61866973799988,4,1,0,0,0,0.61866973799988,0.923879532511287,-0.38268343236509,2
10,565,0.65,3,4,2,0.702325143996859,2,181,6,4,0.190182032001758,4,1,0.702325143996859,4,0,1,0,0,NaN,NaN,NaN,2
10,613,0.65,3,8,2,0.817758788998617,2,229,15,2,0.479370434000884,1,1,0.817758788998617,2,0,1,0,0,NaN,NaN,NaN,2
10,498,1.4,1,4,2,0.601653715999419,2,114,7,2,0.986629024999274,3,1,0.601653715999419,2,0,1,0,0,NaN,NaN,NaN,2
10,669,0.65,3,8,2,0.59351760500067,2,285,14,2,0.799227325001993,2,1,0.59351760500067,2,0,1,0,0,NaN,NaN,NaN,2
10,533,1.4,1,4,2,0.503706079001859,1,149,4,1,0.792605599999661,4,0,NaN,NaN,0,0,0,1,NaN,0.707106781186547,-0.707106781186548,2
10,734,1.4,1,8,2,0.885775852999359,2,350,14,2,0.480307082998479,4,1,0.885775852999359,2,0,1,0,0,NaN,NaN,NaN,2
10,546,1.4,1,4,2,0.80679049399987,2,162,7,4,0.193440232000285,4,1,0.80679049399987,4,0,1,0,0,NaN,NaN,NaN,2
10,616,1.4,3,8,2,0.805639894999331,2,232,12,1,0.574935812001058,1,1,0.805639894999331,1,0,1,0,0,NaN,NaN,NaN,2
10,694,1.4,1,8,2,0.603969349998806,2,310,14,2,0.286879551997117,3,1,0.603969349998806,2,0,1,0,0,NaN,NaN,NaN,2
10,495,1.4,1,4,2,0.604358485001285,2,111,7,3,1.02060218800034,3,1,0.604358485001285,3,0,1,0,0,NaN,NaN,NaN,2
10,497,1.4,1,4,2,0.391663975999109,2,113,8,4,0.19705011899714,3,1,0.391663975999109,4,0,1,0,0,NaN,NaN,NaN,2
10,592,1.4,1,8,2,0.599981636001758,2,208,16,2,0.450786745997902,1,1,0.599981636001758,2,0,1,0,0,NaN,NaN,NaN,2
10,456,1.4,1,4,2,0.700602630000503,2,72,8,4,0.200955626001814,2,1,0.700602630000503,4,0,1,0,0,NaN,NaN,NaN,2
10,645,1.4,1,8,2,0.602137112997298,2,261,13,3,1.40893187199981,2,1,0.602137112997298,3,0,1,0,0,NaN,NaN,NaN,2
10,453,1.4,1,4,2,0.501852271001553,2,69,7,4,0.198937398999988,2,1,0.501852271001553,4,0,1,0,0,NaN,NaN,NaN,2
10,432,1.4,3,4,2,0.593282969999564,2,48,5,4,0.197856960996432,1,1,0.593282969999564,4,0,1,0,0,NaN,NaN,NaN,2
10,587,1.4,1,8,1,1.55226389799645,1,203,2,2,0.479392928002198,1,1,1.55226389799645,2,1,0,0,0,1.55226389799645,0.38268343236509,0.923879532511287,2
11,688,1.4,1,8,2,1.01109270400002,2,304,9,2,1.62698675899992,3,1,1.01109270400002,2,0,1,0,0,NaN,NaN,NaN,2
11,404,1.4,1,4,2,0.808480963999955,2,20,5,4,1.86928694899984,1,1,0.808480963999955,4,0,1,0,0,NaN,NaN,NaN,2
11,713,0.65,3,8,2,0.90532975699989,2,329,9,4,0.839598374999923,3,1,0.90532975699989,4,0,1,0,0,NaN,NaN,NaN,2
11,656,1.4,3,8,1,0.877622139999858,1,272,4,4,0.339086001999931,2,1,0.877622139999858,4,1,0,0,0,0.877622139999858,-0.923879532511287,0.38268343236509,2
11,481,1.4,1,4,1,1.07025288199998,1,97,3,4,0.33851980999998,3,1,1.07025288199998,4,1,0,0,0,1.07025288199998,-0.707106781186548,-0.707106781186547,2
