Subject_code,trial_code,foreperiod,predictability,difficulty,response,reaction_time,correct_response,stimulus,question,confidence,confidence_RT,score,RTCorrect,ConfCorrect,TP,TN,FP,FN,RT_TP,xpos,ypos,perfGrp
6,28,1.4,1,4,1,0.81879928699982,1,28,1,4,0.0351895589997184,1,0.81879928699982,4,1,0,0,0,0.81879928699982,1,0,1
6,17,0.65,1,4,2,0.819405566000114,2,17,5,4,0.343943894999938,1,0.819405566000114,4,0,1,0,0,NaN,NaN,NaN,1
6,104,1.4,1,6,2,0.621926606000216,2,32,7,4,0.172408098999767,1,0.621926606000216,4,0,1,0,0,NaN,NaN,NaN,1
6,220,0.65,1,10,2,0.600583887000084,2,4,17,4,0.167764667000029,1,0.600583887000084,4,0,1,0,0,NaN,NaN,NaN,1
6,150,0.65,1,8,2,0.701475214999846,2,6,16,2,0.232954101999894,1,0.701475214999846,2,0,1,0,0,NaN,NaN,NaN,1
6,168,1.4,1,8,1,0.579177825999977,1,24,1,4,0.146459123000113,1,0.579177825999977,4,1,0,0,0,0.579177825999977,1,0,1
6,103,1.4,1,6,2,0.778234553999937,2,31,7,3,0.612622667000323,1,0.778234553999937,3,0,1,0,0,NaN,NaN,NaN,1
6,158,0.65,1,8,2,0.586705079000239,1,14,3,3,0.354312981000021,0,NaN,NaN,0,0,0,1,NaN,6.12323399573677e-17,1,1
6,39,1.4,3,4,2,0.533420946000206,1,39,4,4,0.320367167999848,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,160,0.65,1,8,1,0.57015353900033,1,16,4,4,0.0832619279999562,1,0.57015353900033,4,1,0,0,0,0.57015353900033,-0.707106781186547,0.707106781186548,1
6,218,0.65,1,10,1,1.02168941899981,2,2,15,2,0.290458086999934,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
6,13,0.65,1,4,2,0.654160189999857,1,13,4,4,0.390691091999997,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,22,1.4,1,4,1,0.966252824000094,1,22,1,4,0.10400251100009,1,0.966252824000094,4,1,0,0,0,0.966252824000094,1,0,1
6,247,1.4,1,10,1,0.849488347999795,2,31,12,2,0.475791856999876,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
6,84,0.65,1,6,2,0.540415224000299,2,12,8,4,0.176331387999653,1,0.540415224000299,4,0,1,0,0,NaN,NaN,NaN,1
6,254,1.4,3,10,1,1.26802206299999,2,38,15,2,0.481981262999852,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
6,120,0.65,3,6,2,0.879308043000037,2,48,10,4,0.271938182000213,1,0.879308043000037,4,0,1,0,0,NaN,NaN,NaN,1
6,139,1.4,3,6,2,1.71678051800018,2,67,8,4,0.440088147000097,1,1.71678051800018,4,0,1,0,0,NaN,NaN,NaN,1
6,225,0.65,1,10,2,0.627878857000269,2,9,16,2,0.201171049000095,1,0.627878857000269,2,0,1,0,0,NaN,NaN,NaN,1
6,30,1.4,1,4,2,0.586740362,2,30,6,4,0.373508331999801,1,0.586740362,4,0,1,0,0,NaN,NaN,NaN,1
6,197,1.4,3,8,2,0.633860915999776,2,53,16,3,0.651325079999879,1,0.633860915999776,3,0,1,0,0,NaN,NaN,NaN,1
6,70,1.4,3,4,2,0.511004375000084,2,70,6,4,0.25756439099996,1,0.511004375000084,4,0,1,0,0,NaN,NaN,NaN,1
6,10,0.65,1,4,1,1.06370482500006,1,10,2,4,2.41548897699977,1,1.06370482500006,4,1,0,0,0,1.06370482500006,6.12323399573677e-17,1,1
6,140,0.65,3,6,1,0.316911118999997,1,68,1,4,0.0129935279996971,1,0.316911118999997,4,1,0,0,0,0.316911118999997,1,0,1
6,48,0.65,3,4,2,0.691962850999971,1,48,4,4,0.11361353600023,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
6,228,0.65,1,10,1,0.585781296000278,1,12,1,4,0.0992813299999398,1,0.585781296000278,4,1,0,0,0,0.585781296000278,1,0,1
6,227,0.65,1,10,2,0.609167023000282,2,11,17,4,0.0248207419999744,1,0.609167023000282,4,0,1,0,0,NaN,NaN,NaN,1
6,240,1.4,1,10,2,1.04110581699979,1,24,4,2,0.207522287000302,0,NaN,NaN,0,0,0,1,NaN,-0.309016994374947,0.951056516295154,1
6,98,1.4,1,6,1,1.32059767800001,1,26,2,4,0.212685082000007,1,1.32059767800001,4,1,0,0,0,1.32059767800001,0.5,0.866025403784439,1
6,121,1.4,3,6,2,0.858396958999947,2,49,8,2,0.159335484000167,1,0.858396958999947,2,0,1,0,0,NaN,NaN,NaN,1
6,89,0.65,1,6,1,1.6914598620001,1,17,2,4,0.114217443999678,1,1.6914598620001,4,1,0,0,0,1.6914598620001,0.5,0.866025403784439,1
6,68,0.65,3,4,2,2.27198858300017,2,68,8,3,1.12177744799965,1,2.27198858300017,3,0,1,0,0,NaN,NaN,NaN,1
6,132,0.65,3,6,2,0.535314518000177,2,60,12,4,0.538218218000111,1,0.535314518000177,4,0,1,0,0,NaN,NaN,NaN,1
6,15,0.65,1,4,1,0.645973660999971,1,15,2,4,0.246133623999867,1,0.645973660999971,4,1,0,0,0,0.645973660999971,6.12323399573677e-17,1,1
7,238,1.4,1,10,NaN,4.00067186500019,1,22,4,3,2.91599608699926,0,NaN,NaN,0,0,0,0,NaN,-0.309016994374947,0.951056516295154,1
7,162,0.65,1,8,2,0.872589126000094,1,18,7,4,0.997200010000597,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
7,142,1.4,3,6,1,0.86360651799987,1,70,2,3,1.32821403600065,1,0.86360651799987,3,1,0,0,0,0.86360651799987,0.5,0.866025403784439,1
7,209,1.4,3,8,2,1.20858560899978,1,65,8,1,0.552081224000176,0,NaN,NaN,0,0,0,1,NaN,0.707106781186547,-0.707106781186548,1
7,277,1.4,3,10,1,2.30088306200014,1,61,7,3,0.730818850000105,1,2.30088306200014,3,1,0,0,0,2.30088306200014,-0.809016994374947,-0.587785252292473,1
7,79,0.65,1,6,1,0.907965226999295,1,7,2,4,0.245974732999457,1,0.907965226999295,4,1,0,0,0,0.907965226999295,0.5,0.866025403784439,1
7,223,0.65,1,10,2,1.30996908700035,2,7,12,2,0.447111400999347,1,1.30996908700035,2,0,1,0,0,NaN,NaN,NaN,1
7,40,0.65,3,4,1,1.07730073900075,1,40,4,4,0.143249013000059,1,1.07730073900075,4,1,0,0,0,1.07730073900075,-1.83697019872103e-16,-1,1
7,156,0.65,1,8,2,0.613348552999923,1,12,7,1,0.557857342000716,0,NaN,NaN,0,0,0,1,NaN,-1.83697019872103e-16,-1,1
7,231,0.65,1,10,1,0.923670103999939,2,15,15,3,0.665087699999276,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
7,233,0.65,1,10,1,0.555165185999613,1,17,9,4,0.322887755000011,1,0.555165185999613,4,1,0,0,0,0.555165185999613,0.309016994374947,-0.951056516295154,1
7,48,0.65,3,4,1,0.480940513999485,1,48,2,4,0.162074403000588,1,0.480940513999485,4,1,0,0,0,0.480940513999485,6.12323399573677e-17,1,1
7,167,1.4,1,8,1,2.2710013599999,2,23,12,3,0.382999705999282,0,NaN,NaN,0,0,1,0,NaN,NaN,NaN,1
7,28,1.4,1,4,2,0.907937803000095,2,28,6,4,0.512109182000131,1,0.907937803000095,4,0,1,0,0,NaN,NaN,NaN,1
7,15,0.65,1,4,2,0.63733796499946,2,15,8,4,0.314334090000557,1,0.63733796499946,4,0,1,0,0,NaN,NaN,NaN,1
7,92,1.4,1,6,2,0.967427824999504,1,20,3,3,0.995222346999981,0,NaN,NaN,0,0,0,1,NaN,-0.5,0.866025403784439,1
7,95,1.4,1,6,1,0.629095279000467,1,23,2,4,0.668406965999566,1,0.629095279000467,4,1,0,0,0,0.629095279000467,0.5,0.866025403784439,1
7,27,1.4,1,4,1,1.05634327200005,1,27,3,4,0.176091074000396,1,1.05634327200005,4,1,0,0,0,1.05634327200005,-1,1.22464679914735e-16,1
7,30,1.4,1,4,2,0.85714134600039,2,30,6,4,0.315766574000008,1,0.85714134600039,4,0,1,0,0,NaN,NaN,NaN,1
7,241,1.4,1,10,1,0.928315091000513,1,25,6,3,0.161928078000528,1,0.928315091000513,3,1,0,0,0,0.928315091000513,-1,1.22464679914735e-16,1
7,53,1.4,3,4,2,1.25345692799965,2,53,8,4,0.311681161999331,1,1.25345692799965,4,0,1,0,0,NaN,NaN,NaN,1
7,117,1.4,3,6,2,1.29672565799956,1,45,5,3,0.595527524999852,0,NaN,NaN,0,0,0,1,NaN,-0.5,-0.866025403784438,1
